Size,Fn,Distro,Correct,Better vs CIPCT,Worse vs CIPCT,Better vs CIT,Worse vs CIT
10,1,sample_bernoulli,9966,3,97,212,9787
30,1,sample_bernoulli,10000,6,94,389,9611
100,1,sample_bernoulli,10000,7,93,566,9434
300,1,sample_bernoulli,10000,5,95,548,9452
1000,1,sample_bernoulli,10000,8,92,547,9453
10,2,sample_bernoulli,9987,4,96,203,9797
30,2,sample_bernoulli,10000,7,93,413,9587
100,2,sample_bernoulli,10000,2,98,582,9418
300,2,sample_bernoulli,10000,6,94,572,9428
1000,2,sample_bernoulli,10000,9,91,528,9472
10,3,sample_bernoulli,8924,27,73,8367,1608
30,3,sample_bernoulli,9584,46,54,9584,396
100,3,sample_bernoulli,9467,43,57,9467,510
300,3,sample_bernoulli,9440,44,56,9430,533
1000,3,sample_bernoulli,9437,57,43,9403,567
10,4,sample_bernoulli,10000,1,99,221,9779
30,4,sample_bernoulli,10000,5,95,381,9619
100,4,sample_bernoulli,10000,5,95,582,9418
300,4,sample_bernoulli,10000,4,96,588,9412
1000,4,sample_bernoulli,10000,6,94,576,9424
10,5,sample_bernoulli,9216,6,94,434,9555
30,5,sample_bernoulli,9173,5,95,528,9431
100,5,sample_bernoulli,9076,7,93,602,9354
300,5,sample_bernoulli,9037,4,96,544,9389
1000,5,sample_bernoulli,9014,9,91,491,9444
10,6,sample_bernoulli,9992,2,98,225,9775
30,6,sample_bernoulli,10000,5,95,427,9573
100,6,sample_bernoulli,10000,7,93,537,9463
300,6,sample_bernoulli,10000,5,95,561,9439
1000,6,sample_bernoulli,10000,10,90,513,9487
10,7,sample_bernoulli,8881,70,30,8881,1095
30,7,sample_bernoulli,8964,83,17,8964,992
100,7,sample_bernoulli,9132,94,5,9132,817
300,7,sample_bernoulli,9024,84,16,9024,918
1000,7,sample_bernoulli,9015,83,16,9015,929
10,8,sample_bernoulli,9866,2,98,208,9791
30,8,sample_bernoulli,10000,6,94,418,9582
100,8,sample_bernoulli,10000,6,94,556,9444
300,8,sample_bernoulli,10000,5,95,568,9432
1000,8,sample_bernoulli,10000,4,96,581,9419
10,9,sample_bernoulli,9793,4,96,1595,8399
30,9,sample_bernoulli,9837,4,96,396,9594
100,9,sample_bernoulli,9882,6,94,537,9449
300,9,sample_bernoulli,9910,5,95,545,9454
1000,9,sample_bernoulli,9888,7,93,537,9460
10,10,sample_bernoulli,9802,19,81,8927,1069
30,10,sample_bernoulli,9625,32,68,9101,881
100,10,sample_bernoulli,9651,36,64,571,9414
300,10,sample_bernoulli,9537,47,53,566,9401
1000,10,sample_bernoulli,9517,45,55,512,9463
10,1,sample_uniform,9977,8,92,553,9446
30,1,sample_uniform,10000,6,94,470,9530
100,1,sample_uniform,10000,5,95,515,9485
300,1,sample_uniform,10000,6,94,517,9483
1000,1,sample_uniform,10000,10,90,475,9525
10,2,sample_uniform,9983,8,92,588,9412
30,2,sample_uniform,10000,7,93,532,9468
100,2,sample_uniform,10000,4,96,491,9509
300,2,sample_uniform,10000,10,90,487,9513
1000,2,sample_uniform,10000,0,100,527,9473
10,3,sample_uniform,9035,49,49,7381,2556
30,3,sample_uniform,9362,43,57,6689,3281
100,3,sample_uniform,9454,55,44,5955,4017
300,3,sample_uniform,9476,44,54,5548,4411
1000,3,sample_uniform,9480,49,51,5338,4644
10,4,sample_uniform,10000,9,91,527,9473
30,4,sample_uniform,10000,7,93,510,9490
100,4,sample_uniform,10000,8,92,488,9512
300,4,sample_uniform,10000,4,96,525,9475
1000,4,sample_uniform,10000,11,89,497,9503
10,5,sample_uniform,8980,10,89,475,9462
30,5,sample_uniform,9040,3,97,459,9487
100,5,sample_uniform,8951,8,91,427,9521
300,5,sample_uniform,8986,3,97,441,9507
1000,5,sample_uniform,8980,4,95,416,9539
10,6,sample_uniform,10000,12,88,536,9464
30,6,sample_uniform,10000,9,91,499,9501
100,6,sample_uniform,10000,11,89,537,9463
300,6,sample_uniform,10000,8,92,515,9485
1000,6,sample_uniform,10000,4,96,490,9510
10,7,sample_uniform,9973,11,89,835,9164
30,7,sample_uniform,9972,8,92,525,9472
100,7,sample_uniform,9955,6,94,501,9497
300,7,sample_uniform,9966,9,91,526,9473
1000,7,sample_uniform,9972,6,94,473,9524
10,8,sample_uniform,9884,7,93,690,9308
30,8,sample_uniform,10000,6,94,514,9486
100,8,sample_uniform,10000,7,93,505,9495
300,8,sample_uniform,10000,7,93,496,9504
1000,8,sample_uniform,10000,5,95,483,9517
10,9,sample_uniform,9595,19,81,3880,6093
30,9,sample_uniform,9824,10,90,881,9105
100,9,sample_uniform,9880,11,89,495,9497
300,9,sample_uniform,9890,5,95,503,9494
1000,9,sample_uniform,9908,8,92,468,9528
10,10,sample_uniform,9998,6,94,514,9486
30,10,sample_uniform,9998,5,95,495,9505
100,10,sample_uniform,9998,4,96,488,9512
300,10,sample_uniform,9997,3,97,549,9451
1000,10,sample_uniform,9992,12,88,469,9530
10,1,sample_bernoulli_00,10000,100,0,10000,0
30,1,sample_bernoulli_00,10000,100,0,10000,0
100,1,sample_bernoulli_00,10000,100,0,10000,0
300,1,sample_bernoulli_00,10000,100,0,10000,0
1000,1,sample_bernoulli_00,10000,100,0,10000,0
10,2,sample_bernoulli_00,10000,100,0,10000,0
30,2,sample_bernoulli_00,10000,100,0,10000,0
100,2,sample_bernoulli_00,10000,100,0,10000,0
300,2,sample_bernoulli_00,10000,100,0,10000,0
1000,2,sample_bernoulli_00,10000,100,0,10000,0
10,3,sample_bernoulli_00,10000,100,0,10000,0
30,3,sample_bernoulli_00,10000,100,0,10000,0
100,3,sample_bernoulli_00,10000,100,0,10000,0
300,3,sample_bernoulli_00,10000,100,0,10000,0
1000,3,sample_bernoulli_00,10000,100,0,10000,0
10,4,sample_bernoulli_00,0,0,100,0,10000
30,4,sample_bernoulli_00,0,0,100,0,10000
100,4,sample_bernoulli_00,0,0,100,0,10000
300,4,sample_bernoulli_00,0,0,100,0,10000
1000,4,sample_bernoulli_00,0,0,100,0,10000
10,5,sample_bernoulli_00,10000,10,90,973,9027
30,5,sample_bernoulli_00,10000,8,92,952,9048
100,5,sample_bernoulli_00,10000,10,90,992,9008
300,5,sample_bernoulli_00,10000,6,94,1028,8972
1000,5,sample_bernoulli_00,10000,10,90,1047,8953
10,6,sample_bernoulli_00,10000,100,0,10000,0
30,6,sample_bernoulli_00,10000,100,0,10000,0
100,6,sample_bernoulli_00,10000,100,0,10000,0
300,6,sample_bernoulli_00,10000,100,0,10000,0
1000,6,sample_bernoulli_00,10000,100,0,10000,0
10,7,sample_bernoulli_00,10000,0,100,0,10000
30,7,sample_bernoulli_00,10000,0,100,0,10000
100,7,sample_bernoulli_00,10000,0,100,0,10000
300,7,sample_bernoulli_00,10000,0,100,0,10000
1000,7,sample_bernoulli_00,10000,0,100,0,10000
10,8,sample_bernoulli_00,10000,100,0,10000,0
30,8,sample_bernoulli_00,10000,100,0,10000,0
100,8,sample_bernoulli_00,10000,100,0,10000,0
300,8,sample_bernoulli_00,10000,100,0,10000,0
1000,8,sample_bernoulli_00,10000,100,0,10000,0
10,9,sample_bernoulli_00,10000,100,0,10000,0
30,9,sample_bernoulli_00,10000,100,0,10000,0
100,9,sample_bernoulli_00,10000,100,0,10000,0
300,9,sample_bernoulli_00,10000,100,0,10000,0
1000,9,sample_bernoulli_00,10000,100,0,10000,0
10,10,sample_bernoulli_00,10000,0,100,0,10000
30,10,sample_bernoulli_00,10000,0,100,0,10000
100,10,sample_bernoulli_00,10000,0,100,0,10000
300,10,sample_bernoulli_00,10000,0,100,0,10000
1000,10,sample_bernoulli_00,10000,0,100,0,10000
10,1,sample_bernoulli_10,10000,100,0,10000,0
30,1,sample_bernoulli_10,10000,100,0,10000,0
100,1,sample_bernoulli_10,10000,100,0,10000,0
300,1,sample_bernoulli_10,10000,100,0,10000,0
1000,1,sample_bernoulli_10,10000,100,0,10000,0
10,2,sample_bernoulli_10,10000,100,0,10000,0
30,2,sample_bernoulli_10,10000,100,0,10000,0
100,2,sample_bernoulli_10,10000,100,0,10000,0
300,2,sample_bernoulli_10,10000,100,0,10000,0
1000,2,sample_bernoulli_10,10000,100,0,10000,0
10,3,sample_bernoulli_10,10000,100,0,10000,0
30,3,sample_bernoulli_10,10000,100,0,10000,0
100,3,sample_bernoulli_10,10000,100,0,10000,0
300,3,sample_bernoulli_10,10000,100,0,10000,0
1000,3,sample_bernoulli_10,10000,100,0,10000,0
10,4,sample_bernoulli_10,0,0,100,0,10000
30,4,sample_bernoulli_10,0,0,100,0,10000
100,4,sample_bernoulli_10,0,0,100,0,10000
300,4,sample_bernoulli_10,0,0,100,0,10000
1000,4,sample_bernoulli_10,0,0,100,0,10000
10,5,sample_bernoulli_10,10000,11,89,979,9021
30,5,sample_bernoulli_10,10000,9,91,968,9032
100,5,sample_bernoulli_10,10000,8,92,970,9030
300,5,sample_bernoulli_10,10000,10,90,1039,8961
1000,5,sample_bernoulli_10,10000,12,88,963,9037
10,6,sample_bernoulli_10,10000,0,100,0,10000
30,6,sample_bernoulli_10,10000,0,100,0,10000
100,6,sample_bernoulli_10,10000,0,100,0,10000
300,6,sample_bernoulli_10,10000,0,100,0,10000
1000,6,sample_bernoulli_10,10000,0,100,0,10000
10,7,sample_bernoulli_10,10000,0,100,0,10000
30,7,sample_bernoulli_10,10000,0,100,0,10000
100,7,sample_bernoulli_10,10000,0,100,0,10000
300,7,sample_bernoulli_10,10000,0,100,0,10000
1000,7,sample_bernoulli_10,10000,0,100,0,10000
10,8,sample_bernoulli_10,10000,100,0,10000,0
30,8,sample_bernoulli_10,10000,100,0,10000,0
100,8,sample_bernoulli_10,10000,100,0,10000,0
300,8,sample_bernoulli_10,10000,100,0,10000,0
1000,8,sample_bernoulli_10,10000,100,0,10000,0
10,9,sample_bernoulli_10,10000,100,0,10000,0
30,9,sample_bernoulli_10,10000,100,0,10000,0
100,9,sample_bernoulli_10,10000,100,0,10000,0
300,9,sample_bernoulli_10,10000,100,0,10000,0
1000,9,sample_bernoulli_10,10000,100,0,10000,0
10,10,sample_bernoulli_10,10000,0,100,0,10000
30,10,sample_bernoulli_10,10000,0,100,0,10000
100,10,sample_bernoulli_10,10000,0,100,0,10000
300,10,sample_bernoulli_10,10000,0,100,0,10000
1000,10,sample_bernoulli_10,10000,0,100,0,10000
10,1,sample_beta,56,0,0,56,60
30,1,sample_beta,163,7,2,163,119
100,1,sample_beta,499,8,2,489,357
300,1,sample_beta,1472,13,8,1383,795
1000,1,sample_beta,4079,40,9,3378,1930
10,2,sample_beta,63,0,0,63,39
30,2,sample_beta,151,1,1,149,124
100,2,sample_beta,9,0,3,9,364
300,2,sample_beta,0,0,13,0,846
1000,2,sample_beta,0,0,18,0,2086
10,3,sample_beta,44,0,0,44,64
30,3,sample_beta,137,2,0,136,123
100,3,sample_beta,375,5,3,367,343
300,3,sample_beta,819,8,9,780,847
1000,3,sample_beta,2105,21,15,1877,1885
10,4,sample_beta,0,0,0,0,39
30,4,sample_beta,0,0,1,0,106
100,4,sample_beta,0,0,1,0,353
300,4,sample_beta,0,0,4,0,866
1000,4,sample_beta,0,0,15,0,2080
10,5,sample_beta,9013,92,0,8965,52
30,5,sample_beta,8991,85,1,8898,101
100,5,sample_beta,9028,85,3,8718,339
300,5,sample_beta,8946,84,8,8178,865
1000,5,sample_beta,9010,65,22,7115,2115
10,6,sample_beta,10000,100,0,9951,49
30,6,sample_beta,10000,100,0,9886,114
100,6,sample_beta,10000,96,4,9701,299
300,6,sample_beta,10000,91,9,9119,881
1000,6,sample_beta,10000,74,26,7878,2122
10,7,sample_beta,10000,100,0,9961,39
30,7,sample_beta,10000,99,1,9882,118
100,7,sample_beta,10000,100,0,9666,334
300,7,sample_beta,10000,92,8,9088,912
1000,7,sample_beta,10000,79,21,7858,2142
10,8,sample_beta,1,0,0,1,46
30,8,sample_beta,0,0,1,0,111
100,8,sample_beta,0,0,3,0,366
300,8,sample_beta,0,0,9,0,881
1000,8,sample_beta,0,0,24,0,2089
10,9,sample_beta,51,1,0,51,45
30,9,sample_beta,121,1,3,121,135
100,9,sample_beta,347,5,4,340,364
300,9,sample_beta,878,12,8,843,745
1000,9,sample_beta,2190,19,15,1942,1918
10,10,sample_beta,10000,100,0,9953,47
30,10,sample_beta,10000,98,2,9877,123
100,10,sample_beta,10000,94,6,9643,357
300,10,sample_beta,10000,90,10,9091,909
1000,10,sample_beta,10000,77,23,7852,2148
10,1,sample_bernoulli_01,985,7,6,900,934
30,1,sample_bernoulli_01,2633,26,25,1928,2608
100,1,sample_bernoulli_01,6288,29,57,2305,6369
300,1,sample_bernoulli_01,9510,7,93,1893,8011
1000,1,sample_bernoulli_01,10000,4,96,770,9230
10,2,sample_bernoulli_01,969,6,7,866,914
30,2,sample_bernoulli_01,2657,18,25,1966,2597
100,2,sample_bernoulli_01,760,2,56,304,6416
300,2,sample_bernoulli_01,37,0,94,4,7983
1000,2,sample_bernoulli_01,0,0,96,0,9262
10,3,sample_bernoulli_01,892,6,6,889,901
30,3,sample_bernoulli_01,2577,25,23,2486,2007
100,3,sample_bernoulli_01,6347,53,29,5229,3418
300,3,sample_bernoulli_01,8047,43,55,5516,4127
1000,3,sample_bernoulli_01,9301,58,42,5419,4519
10,4,sample_bernoulli_01,0,0,10,0,940
30,4,sample_bernoulli_01,0,0,32,0,2572
100,4,sample_bernoulli_01,0,0,59,0,6299
300,4,sample_bernoulli_01,0,0,90,0,7974
1000,4,sample_bernoulli_01,0,0,96,0,9229
10,5,sample_bernoulli_01,9000,81,7,8142,948
30,5,sample_bernoulli_01,9025,66,29,6708,2562
100,5,sample_bernoulli_01,9362,27,70,3678,6091
300,5,sample_bernoulli_01,9218,7,93,2059,7774
1000,5,sample_bernoulli_01,9142,5,95,758,9178
10,6,sample_bernoulli_01,917,7,9,811,1012
30,6,sample_bernoulli_01,370,2,24,269,2601
100,6,sample_bernoulli_01,3702,44,32,3668,4006
300,6,sample_bernoulli_01,2310,27,69,2310,6148
1000,6,sample_bernoulli_01,1218,14,84,1218,8137
10,7,sample_bernoulli_01,9999,88,12,9079,920
30,7,sample_bernoulli_01,9999,74,26,7342,2658
100,7,sample_bernoulli_01,10000,34,66,3671,6329
300,7,sample_bernoulli_01,10000,9,91,2021,7979
1000,7,sample_bernoulli_01,10000,10,90,748,9252
10,8,sample_bernoulli_01,951,10,10,847,990
30,8,sample_bernoulli_01,40,0,34,27,2604
100,8,sample_bernoulli_01,0,0,67,0,6262
300,8,sample_bernoulli_01,0,0,92,0,8014
1000,8,sample_bernoulli_01,0,0,92,0,9264
10,9,sample_bernoulli_01,906,9,7,834,965
30,9,sample_bernoulli_01,2626,17,28,1999,2577
100,9,sample_bernoulli_01,6419,30,57,3363,5282
300,9,sample_bernoulli_01,9507,32,68,4188,5703
1000,9,sample_bernoulli_01,9717,19,81,1654,8327
10,10,sample_bernoulli_01,10000,84,16,9010,990
30,10,sample_bernoulli_01,10000,75,25,7357,2643
100,10,sample_bernoulli_01,10000,42,58,3697,6303
300,10,sample_bernoulli_01,10000,8,92,2016,7984
1000,10,sample_bernoulli_01,10000,6,94,786,9214
